test_ar_order,layer,lag,is_within_ar_order,context_normalized_attention,raw_attention
7,1,10,0,0.030991284176707268,0.029923390597105026
7,1,11,0,0.028036465868353844,0.027171717956662178
7,1,12,0,0.023240862414240837,0.022526973858475685
7,1,13,0,0.02067399211227894,0.020149579271674156
7,1,14,0,0.018470674753189087,0.01797652244567871
7,1,15,0,0.019457846879959106,0.01899118907749653
7,1,16,0,0.019995635375380516,0.019435826689004898
7,1,17,0,0.020511703565716743,0.020014598965644836
7,1,18,0,0.019327398389577866,0.018831083551049232
7,1,19,0,0.018458276987075806,0.018039505928754807
7,1,20,0,0.018162889406085014,0.017690107226371765
7,1,21,0,0.019186997786164284,0.018712937831878662
7,1,22,0,0.020177321508526802,0.019554447382688522
7,1,23,0,0.02132822573184967,0.020702648907899857
7,1,24,0,0.019828448072075844,0.0191902257502079
7,1,25,0,0.018192574381828308,0.01768025942146778
7,1,26,0,0.015750838443636894,0.015268547460436821
7,1,27,0,0.01517956517636776,0.014758477918803692
7,1,28,0,0.01514980848878622,0.014657641761004925
7,1,29,0,0.014834568835794926,0.014369460754096508
7,1,30,0,0.012498563155531883,0.012069378979504108
7,1,31,0,0.008818051777780056,0.00856898445636034
7,1,32,0,0.007870364002883434,0.0076736584305763245
