test_ar_order,layer,lag,is_within_ar_order,distributed_context_normalized_attention
6,0,15,0,0.007702953182160854
6,0,16,0,0.007702953182160854
6,0,17,0,0.008100665174424648
6,0,18,0,0.008100665174424648
6,0,19,0,0.008380799554288387
6,0,20,0,0.008380799554288387
6,0,21,0,0.0076257819309830666
6,0,22,0,0.0076257819309830666
6,0,23,0,0.00874872412532568
6,0,24,0,0.00874872412532568
6,0,25,0,0.006436278112232685
6,0,26,0,0.006436278112232685
6,0,27,0,0.006706458516418934
6,0,28,0,0.006706458516418934
6,0,29,0,0.007745644077658653
6,0,30,0,0.007745644077658653
6,0,31,0,0.012595807202160358
6,0,32,0,0.012595807202160358
6,1,1,1,0.04436631500720978
6,1,2,1,0.04436631500720978
6,1,3,1,0.04570882394909859
6,1,4,1,0.04570882394909859
6,1,5,1,0.04248090088367462
6,1,6,1,0.04248090088367462
6,1,7,0,0.03821288049221039
6,1,8,0,0.03821288049221039
6,1,9,0,0.03520103543996811
6,1,10,0,0.03520103543996811
6,1,11,0,0.03399564325809479
6,1,12,0,0.03399564325809479
6,1,13,0,0.03356614336371422
6,1,14,0,0.03356614336371422
6,1,15,0,0.03274005651473999
6,1,16,0,0.03274005651473999
6,1,17,0,0.03064798004925251
6,1,18,0,0.03064798004925251
6,1,19,0,0.028453776612877846
6,1,20,0,0.028453776612877846
6,1,21,0,0.02586550824344158
6,1,22,0,0.02586550824344158
6,1,23,0,0.024832306429743767
6,1,24,0,0.024832306429743767
6,1,25,0,0.024837488308548927
6,1,26,0,0.024837488308548927
6,1,27,0,0.02461354248225689
6,1,28,0,0.02461354248225689
6,1,29,0,0.018553100526332855
6,1,30,0,0.018553100526332855
6,1,31,0,0.01592450961470604
6,1,32,0,0.01592450961470604
7,0,1,1,0.2248421460390091
7,0,2,1,0.2248421460390091
7,0,3,1,0.13592787086963654
7,0,4,1,0.13592787086963654
7,0,5,1,0.010046059265732765
7,0,6,1,0.010046059265732765
7,0,7,1,0.01272469200193882
7,0,8,0,0.01272469200193882
7,0,9,0,0.026497893035411835
7,0,10,0,0.026497893035411835
7,0,11,0,0.009486588649451733
7,0,12,0,0.009486588649451733
7,0,13,0,0.0073132384568452835
7,0,14,0,0.0073132384568452835
7,0,15,0,0.00785596389323473
